Year,Board Code,Board Name,School Code,School Name,School Total
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,203,RIVERVIEW HIGH SCHOOL         ,1015
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,182,ROBIN FOOTE ELEMENTARY SCHOOL ,181
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,113,SETON ELEMENTARY SCHOOL       ,275
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,646,SHERWOOD PARK EDUCATION CENTRE,520
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,972,SHIPYARD ELEMENTARY SCHOOL    ,233
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,644,ST. AGNES ELEMENTARY SCHOOL   ,163
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,561,ST. ANNE'S ELEMENTARY SCHOOL  ,359
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,119,ST. JOSEPH ELEMENTARY SCHOOL  ,276
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,984,ST. MARY'S-ST. JOSEPH'S COMPLEX,280
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,553,ST. MICHAEL JUNIOR HIGH SCHOOL      ,495
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,688,SYDNEY ACADEMY                ,789
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,443,SYDNEY ADULT EDUCATION CENTRE ,43
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,117,SYDNEY MINES MIDDLE SCHOOL    ,341
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,185,SYDNEY RIVER ELEMENTARY SCHOOL,332
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,110,THOMPSON MIDDLE SCHOOL        ,233
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,175,TOMPKINS MEMORIAL ELEMENTARY SCHOOL  ,177
2006-2007,51,CAPE BRETON-VICTORIA REGIONAL ,667,WHITNEY PIER MEMORIAL MIDDLE SCHOOL  ,503
2006-2007,52,STRAIT REGIONAL               ,934,ANTIGONISH EDUCATION CENTRE     ,562
2006-2007,52,STRAIT REGIONAL               ,932,BAYVIEW EDUCATION CENTRE      ,423
2006-2007,52,STRAIT REGIONAL               ,510,CANSO ACADEMY                 ,77
2006-2007,52,STRAIT REGIONAL               ,974,CAPE BRETON HIGHLANDS EDUCATION CENTRE/ACADEMY ,481
2006-2007,52,STRAIT REGIONAL               ,986,CHEDABUCTO EDUCATION CENTRE/GUYSBOROUGH ACADEMY,400
2006-2007,52,STRAIT REGIONAL               ,930,DALBRAE ACADEMY               ,310
2006-2007,52,STRAIT REGIONAL               ,707,DR. JOHN HUGH GILLIS REGIONAL HIGH SCHOOL ,1016
2006-2007,52,STRAIT REGIONAL               ,975,EAST ANTIGONISH EDUCATION CENTRE/ACADEMY ,556
2006-2007,52,STRAIT REGIONAL               ,484,EAST RICHMOND EDUCATION CENTRE     ,352
2006-2007,52,STRAIT REGIONAL               ,266,FANNING EDUCATION CENTRE/CANSO ACADEMY,152
2006-2007,52,STRAIT REGIONAL               ,471,FELIX MARCHAND EDUCATION CENTRE ,165
2006-2007,52,STRAIT REGIONAL               ,143,H. M. MACDONALD ELEMENTARY SCHOOL  ,90
2006-2007,52,STRAIT REGIONAL               ,1106,INVERNESS EDUCATION CENTRE/ACADEMY ,348
2006-2007,52,STRAIT REGIONAL               ,631,MULGRAVE MEMORIAL EDUCATION CENTRE ,117
2006-2007,52,STRAIT REGIONAL               ,390,PLEASANT BAY SCHOOL           ,12
2006-2007,52,STRAIT REGIONAL               ,146,REV. H. J. MACDONALD SCHOOL         ,83
2006-2007,52,STRAIT REGIONAL               ,931,RICHMOND EDUCATION CENTRE/ACADEMY  ,477
2006-2007,52,STRAIT REGIONAL               ,152,ST. ANDREW JUNIOR HIGH SCHOOL ,642
2006-2007,52,STRAIT REGIONAL               ,149,ST. ANDREWS CONSOLIDATED SCHOOL    ,213
2006-2007,52,STRAIT REGIONAL               ,491,ST. MARY'S ACADEMY            ,188
2006-2007,52,STRAIT REGIONAL               ,25,ST. MARY'S EDUCATION CENTRE   ,208
2006-2007,52,STRAIT REGIONAL               ,655,STRAIT AREA EDUCATION/RECREATION CENTRE   ,418
2006-2007,52,STRAIT REGIONAL               ,936,TAMARAC EDUCATION CENTRE      ,626
2006-2007,52,STRAIT REGIONAL               ,976,WEST RICHMOND EDUCATION CENTRE,138
2006-2007,52,STRAIT REGIONAL               ,388,WHYCOCOMAGH EDUCATION CENTRE  ,191
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,639,A.G. BAILLIE MEMORIAL SCHOOL,437
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,634,ACADIA ST ELEMENTARY SCHOOL,147
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,248,ADVOCATE DISTRICT SCHOOL      ,60
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,49,ALICE STREET SCHOOL                 ,98
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,705,AMHERST REGIONAL HIGH SCHOOL  ,767
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,6,BIBLE HILL CENTRAL ELEMENTARY SCHOOL ,176
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,2,BIBLE HILL EAST COURT ROAD ELEMENTARY SCHOOL,128
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,7,BIBLE HILL JUNIOR HIGH SCHOOL ,453
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,16,BROOKFIELD ELEMENTARY SCHOOL  ,170
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,20,CENTRAL COLCHESTER JUNIOR HIGH SCHOOL,474
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,27,CHIGANOIS ELEMENTARY SCHOOL   ,214
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,269,CHIGNECTO CENTRAL ADULT HIGH SCHOOL-AMHERST,30
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,978,CHIGNECTO CENTRAL ADULT HIGH SCHOOL-ELMSDALE,34
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,919,CHIGNECTO CENTRAL ADULT HIGH SCHOOL-NEW GLASGOW,63
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,920,CHIGNECTO CENTRAL ADULT HIGH SCHOOL-TRURO,49
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,14,COBEQUID CONSOLIDATED ELEMENTARY SCHOOL     ,219
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,36,COBEQUID DISTRICT ELEMENTARY SCHOOL,91
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,44,COBEQUID EDUCATIONAL CENTRE   ,1615
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,1104,CUMBERLAND NORTH ACADEMY      ,307
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,230,CYRUS EATON ELEMENTARY SCHOOL ,137
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,28,DEBERT ELEMENTARY SCHOOL      ,159
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,47,DOUGLAS STREET SCHOOL                ,241
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,408,DR. W. A. MACLEOD CONSOLIDATED SCHOOL,249
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,750,E. B. CHANDLER JUNIOR HIGH SCHOOL,346
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,432,EAST PICTOU MIDDLE SCHOOL     ,248
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,17,EAST STEWIACKE ELEMENTARY SCHOOL     ,186
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,31,ELMSDALE DISTRICT ELEMENTARY SCHOOL ,400
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,30,ENFIELD DISTRICT SCHOOL       ,309
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,414,F. H. MACDONALD ELEMENTARY SCHOOL ,420
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,665,G.R. SAUNDERS ELEMENTARY SCHOOL     ,329
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,26,GREAT VILLAGE ELEMENTARY SCHOOL      ,61
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,42,HANTS EAST RURAL HIGH SCHOOL  ,842
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,41,HANTS NORTH RURAL HIGH SCHOOL ,341
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,1100,HIGHLAND CONSOLIDATED MIDDLE SCHOOL ,282
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,15,HILDEN ELEMENTARY SCHOOL      ,124
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,661,JUNCTION ROAD ELEMENTARY SCHOOL     ,179
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,38,KENNETCOOK DISTRICT ELEMENTARY SCHOOL,71
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,35,MAITLAND DISTRICT SCHOOL             ,47
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,949,MAPLE RIDGE ELEMENTARY SCHOOL ,301
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,633,NEW GLASGOW JUNIOR HIGH SCHOOL       ,357
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,5,NORTH COLCHESTER HIGH SCHOOL  ,224
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,988,NORTH NOVA EDUCATION CENTRE   ,896
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,9,NORTH RIVER ELEMENTARY SCHOOL ,280
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,231,NORTHPORT CONSOLIDATED ELEMENTARY SCHOOL  ,69
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,989,NORTHUMBERLAND REGIONAL HIGH SCHOOL,1117
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,648,OXFORD REGIONAL ELEMENTARY SCHOOL   ,174
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,714,OXFORD REGIONAL HIGH SCHOOL         ,276
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,649,PARRSBORO REGIONAL ELEMENTARY SCHOOL ,221
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,715,PARRSBORO REGIONAL HIGH SCHOOL,255
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,650,PICTOU ACADEMY/DR.THOMAS MCCULLOCH SCHOOL,330
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,971,PICTOU ELEMENTARY SCHOOL      ,264
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,50,PRINCESS MARGARET ROSE SCHOOL       ,76
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,252,PUGWASH DISTRICT HIGH SCHOOL  ,320
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,39,RAWDON DISTRICT ELEMENTARY SCHOOL    ,122
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,916,REDCLIFF MIDDLE SCHOOL        ,555
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,240,RIVER HEBERT DISTRICT ELEMENTARY SCHOOL   ,123
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,251,RIVER HEBERT DISTRICT SCHOOL  ,119
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,435,RIVER JOHN CONSOLIDATED SCHOOL       ,85
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,923,RIVERSIDE EDUCATION CENTRE    ,640
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,11,SALMON RIVER ELEMENTARY SCHOOL       ,216
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,441,SALT SPRINGS ELEMENTARY SCHOOL       ,80
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,4,SCOTSBURN ELEMENTARY SCHOOL   ,106
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,34,SHUBENACADIE DISTRICT ELEMENTARY SCHOOL    ,210
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,992,SOUTH COLCHESTER ACADEMY      ,843
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,1105,SPRING STREET ACADEMY         ,509
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,658,SPRINGHILL JUNIOR-SENIOR HIGH SCHOOL ,389
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,51,ST. MARY'S ELEMENTARY SCHOOL ,114
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,43,STEWIACKE ELEMENTARY SCHOOL          ,88
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,1,TATAMAGOUCHE ELEMENTARY SCHOOL,204
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,636,TEMPERANCE STREET SCHOOL             ,127
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,428,THORBURN CONSOLIDATED SCHOOL  ,282
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,692,TRENTON ELEMENTARY SCHOOL     ,192
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,690,TRENTON MIDDLE SCHOOL         ,228
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,45,TRURO JUNIOR HIGH SCHOOL      ,545
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,40,UNIACKE DISTRICT SCHOOL       ,432
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,18,UPPER STEWIACKE ELEMENTARY SCHOOL   ,66
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,12,VALLEY ELEMENTARY SCHOOL      ,222
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,227,WALLACE CONSOLIDATED ELEMENTARY SCHOOL     ,101
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,3,WALTER DUGGAN CONSOLIDATED SCHOOL    ,463
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,229,WENTWORTH CONSOLIDATED ELEMENTARY SCHOOL ,38
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,29,WEST COLCHESTER CONSOLIDATED SCHOOL ,184
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,662,WEST END MEMORIAL SCHOOL      ,165
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,503,WEST HIGHLANDS ELEMENTARY SCHOOL     ,235
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,407,WEST PICTOU CONSOLIDATED SCHOOL      ,440
2006-2007,53,CHIGNECTO-CENTRAL REGIONAL    ,48,WILLOW STREET SCHOOL,126
2006-2007,54,HALIFAX REGIONAL              ,228,A. J. SMELTZER JUNIOR HIGH SCHOOL  ,386
2006-2007,54,HALIFAX REGIONAL              ,512,ADMIRAL WESTPHAL ELEMENTARY SCHOOL  ,161
2006-2007,54,HALIFAX REGIONAL              ,513,ALDERNEY ELEMENTARY SCHOOL    ,113
2006-2007,54,HALIFAX REGIONAL              ,317,ASH LEE JEFFERSON ELEMENTARY SCHOOL,600
2006-2007,54,HALIFAX REGIONAL              ,739,ASTRAL DRIVE ELEMENTARY SCHOOL,497
2006-2007,54,HALIFAX REGIONAL              ,749,ASTRAL DRIVE JUNIOR HIGH SCHOOL,628
2006-2007,54,HALIFAX REGIONAL              ,425,ATLANTIC MEMORIAL-TERENCE BAY SCHOOL      ,274
2006-2007,54,HALIFAX REGIONAL              ,326,ATLANTIC VIEW ELEMENTARY SCHOOL    ,160
2006-2007,54,HALIFAX REGIONAL              ,97,AUBURN DRIVE HIGH SCHOOL      ,1149
2006-2007,54,HALIFAX REGIONAL              ,104,BASINVIEW DRIVE COMMUNITY SCHOOL    ,325
2006-2007,54,HALIFAX REGIONAL              ,752,BEAVER BANK MONARCH DRIVE ELEMENTARY SCHOOL,344
2006-2007,54,HALIFAX REGIONAL              ,304,BEAVER BANK-KINSAC ELEMENTARY SCHOOL,245
2006-2007,54,HALIFAX REGIONAL              ,268,BEDFORD AND FORSYTH EDUCATION CENTRES  ,279
2006-2007,54,HALIFAX REGIONAL              ,298,BEDFORD JUNIOR HIGH SCHOOL         ,405
2006-2007,54,HALIFAX REGIONAL              ,937,BEDFORD SOUTH SCHOOL          ,564
2006-2007,54,HALIFAX REGIONAL              ,291,BEECHVILLE LAKESIDE TIMBERLEA JUNIOR ELEMENTARY SCHOOL  ,774
2006-2007,54,HALIFAX REGIONAL              ,514,BEL AYR ELEMENTARY SCHOOL     ,221
2006-2007,54,HALIFAX REGIONAL              ,322,BELL PARK ACADEMIC CENTRE     ,341
2006-2007,54,HALIFAX REGIONAL              ,515,BICENTENNIAL SCHOOL           ,398
2006-2007,54,HALIFAX REGIONAL              ,519,BROOKHOUSE ELEMENTARY SCHOOL  ,292
2006-2007,54,HALIFAX REGIONAL              ,286,BROOKSIDE JUNIOR HIGH SCHOOL  ,431
2006-2007,54,HALIFAX REGIONAL              ,595,BURTON ETTINGER ELEMENTARY SCHOOL    ,328
2006-2007,54,HALIFAX REGIONAL              ,319,CALDWELL ROAD ELEMENTARY SCHOOL,338
2006-2007,54,HALIFAX REGIONAL              ,516,CALEDONIA JUNIOR HIGH SCHOOL  ,388
2006-2007,54,HALIFAX REGIONAL              ,312,CAUDLE PARK ELEMENTARY SCHOOL ,249
2006-2007,54,HALIFAX REGIONAL              ,743,CAVALIER DRIVE SCHOOL         ,420
2006-2007,54,HALIFAX REGIONAL              ,611,CENTRAL SPRYFIELD SCHOOL      ,225
2006-2007,54,HALIFAX REGIONAL              ,358,CHARLES P. ALLEN HIGH SCHOOL  ,1086
2006-2007,54,HALIFAX REGIONAL              ,596,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL   ,321
2006-2007,54,HALIFAX REGIONAL              ,600,CLAYTON PARK JUNIOR HIGH SCHOOL     ,296
2006-2007,54,HALIFAX REGIONAL              ,352,COLBY VILLAGE ELEMENTARY SCHOOL      ,245
2006-2007,54,HALIFAX REGIONAL              ,357,COLE HARBOUR DISTRICT HIGH SCHOOL   ,1136
2006-2007,54,HALIFAX REGIONAL              ,339,COLONEL JOHN STUART ELEMENTARY SCHOOL,204
2006-2007,54,HALIFAX REGIONAL              ,517,CRICHTON PARK ELEMENTARY SCHOOL      ,234
2006-2007,54,HALIFAX REGIONAL              ,605,CUNARD JUNIOR HIGH SCHOOL     ,245
2006-2007,54,HALIFAX REGIONAL              ,518,DARTMOUTH HIGH SCHOOL         ,1090
2006-2007,54,HALIFAX REGIONAL              ,601,DUC D'ANVILLE ELEMENTARY SCHOOL      ,345
2006-2007,54,HALIFAX REGIONAL              ,328,DUNCAN MACMILLAN HIGH SCHOOL  ,246
2006-2007,54,HALIFAX REGIONAL              ,343,DUTCH SETTLEMENT ELEMENTARY SCHOOL  ,110
2006-2007,54,HALIFAX REGIONAL              ,283,EAST ST. MARGARET'S ELEMENTARY SCHOOL      ,75
2006-2007,54,HALIFAX REGIONAL              ,329,EASTERN CONSOLIDATED ELEMENTARY SCHOOL     ,34
2006-2007,54,HALIFAX REGIONAL              ,351,EASTERN PASSAGE EDUCATION CENTRE   ,543
2006-2007,54,HALIFAX REGIONAL              ,334,EASTERN SHORE DISTRICT HIGH SCHOOL ,576
2006-2007,54,HALIFAX REGIONAL              ,614,ELIZABETH SUTHERLAND SCHOOL   ,322
2006-2007,54,HALIFAX REGIONAL              ,538,ELLENVALE JUNIOR HIGH SCHOOL  ,405
2006-2007,54,HALIFAX REGIONAL              ,564,ERIC GRAVES MEMORIAL JUNIOR HIGH SCHOOL  ,261
2006-2007,54,HALIFAX REGIONAL              ,599,FAIRVIEW HEIGHTS ELEMENTARY SCHOOL  ,282
2006-2007,54,HALIFAX REGIONAL              ,578,FAIRVIEW JUNIOR HIGH SCHOOL   ,440
2006-2007,54,HALIFAX REGIONAL              ,288,FIVE BRIDGES JUNIOR HIGH SCHOOL     ,492
2006-2007,54,HALIFAX REGIONAL              ,356,GAETZ BROOK JUNIOR HIGH SCHOOL,565
2006-2007,54,HALIFAX REGIONAL              ,731,GEORGE BISSETT ELEMENTARY SCHOOL   ,193
2006-2007,54,HALIFAX REGIONAL              ,314,GEORGES P. VANIER JUNIOR HIGH SCHOOL,438
2006-2007,54,HALIFAX REGIONAL              ,350,GERTRUDE M. PARKER ELEMENTARY SCHOOL ,294
2006-2007,54,HALIFAX REGIONAL              ,568,GORSEBROOK JUNIOR HIGH SCHOOL ,244
2006-2007,54,HALIFAX REGIONAL              ,318,GRAHAM CREIGHTON JUNIOR HIGH SCHOOL  ,466
2006-2007,54,HALIFAX REGIONAL              ,602,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL ,367
2006-2007,54,HALIFAX REGIONAL              ,567,HALIFAX CENTRAL JUNIOR HIGH SCHOOL,237
2006-2007,54,HALIFAX REGIONAL              ,592,HALIFAX WEST HIGH SCHOOL      ,1563
2006-2007,54,HALIFAX REGIONAL              ,306,HAMMONDS PLAINS CONSOLIDATED SCHOOL ,511
2006-2007,54,HALIFAX REGIONAL              ,521,HARBOUR VIEW ELEMENTARY SCHOOL,255
2006-2007,54,HALIFAX REGIONAL              ,335,HARBOURSIDE ELEMENTARY SCHOOL,28
2006-2007,54,HALIFAX REGIONAL              ,740,HAROLD T. BARRETT JUNIOR HIGH SCHOOL,172
2006-2007,54,HALIFAX REGIONAL              ,296,HARRIETSFIELD ELEMENTARY SCHOOL      ,183
2006-2007,54,HALIFAX REGIONAL              ,313,HARRY R. HAMILTON ELEMENTARY SCHOOL ,514
2006-2007,54,HALIFAX REGIONAL              ,522,HAWTHORN ELEMENTARY SCHOOL    ,191
2006-2007,54,HALIFAX REGIONAL              ,293,HERRING COVE JUNIOR HIGH SCHOOL      ,293
2006-2007,54,HALIFAX REGIONAL              ,571,HIGHLAND PARK JUNIOR HIGH SCHOOL     ,178
2006-2007,54,HALIFAX REGIONAL              ,310,HILLSIDE PARK ELEMENTARY SCHOOL      ,246
2006-2007,54,HALIFAX REGIONAL              ,747,HOLLAND ROAD ELEMENTARY SCHOOL,330
2006-2007,54,HALIFAX REGIONAL              ,327,HUMBER PARK ELEMENTARY SCHOOL ,255
2006-2007,54,HALIFAX REGIONAL              ,523,IAN FORSYTH ELEMENTARY SCHOOL ,338
2006-2007,54,HALIFAX REGIONAL              ,579,INGLIS STREET ELEMENTARY SCHOOL      ,192
2006-2007,54,HALIFAX REGIONAL              ,619,J. L. ILSLEY HIGH SCHOOL      ,903
2006-2007,54,HALIFAX REGIONAL              ,539,JOHN MACNEIL ELEMENTARY SCHOOL,221
2006-2007,54,HALIFAX REGIONAL              ,524,JOHN MARTIN JUNIOR HIGH SCHOOL,220
2006-2007,54,HALIFAX REGIONAL              ,607,JOHN W. MACLEOD-FLEMING TOWER ELEMENTARY SCHOOL ,340
2006-2007,54,HALIFAX REGIONAL              ,354,JOSEPH GILES ELEMENTARY SCHOOL,296
2006-2007,54,HALIFAX REGIONAL              ,569,JOSEPH HOWE ELEMENTARY SCHOOL ,114
