Year,Board Code,Board Name,School Code,School Name,Mail Address Line 1,Mail Address Line 2,Mailing Postal Code,Civic Address Line 1,Civic Address Line 2,Civic Postal Code,Telephone,Fax,Email
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,484,EAST RICHMOND EDUCATION CENTRE,PO BOX 219,ST. PETER'S NS,B0E 3B0,9359 PEPPERELL ST,ST. PETER'S NS,B0E 3B0,9025352066,9025353166,SONYA.SAUVE@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,266,FANNING EDUCATION CENTRE/ CANSO ACADEMY,129 TICKLE RD,GUYSBOROUGH NS,B0H 1H0,,,,9023662225,9023663502,JEFF.GEORGE@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,471,FELIX MARCHAND EDUCATION CENTRE,PO BOX 767,LOUISDALE NS,B0E 1V0,380 MAIN ST,LOUISDALE NS,B0E 1V0,9023452560,9023452868,LOIS.LANDRY@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,143,H. M. MACDONALD ELEMENTARY SCHOOL,RR 3 2811 HWY 245,MARYVALE NS,B2G 2J1,,,,9028632096,9028630616,ERIN.MACPHERSON@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,1106,INVERNESS EDUCATION CENTRE/ ACADEMY,PO BOX 580,INVERNESS NS,B0E 1N0,59 VETERANS MEMORIAL CRT,INVERNESS NS,B0E 1N0,9022583700,9022583899,CAROL.SMITH@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,390,PLEASANT BAY SCHOOL,456 PLEASANT BAY RD,PLEASANT BAY NS,B0E 2P0,,,,9022242365,9022242080,PETER.GOOSENS@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,931,RICHMOND EDUCATION CENTRE/ ACADEMY,PO BOX 599,LOUISDALE NS,B0E 1V0,3238 WHITESIDE RD,LOUISDALE NS,B0E 1V0,9023454949,9023454948,JASON.MACLEAN@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,152,ST. ANDREW JUNIOR SCHOOL,2 APPLESEED DR,ANTIGONISH NS,B2G 3B6,,,,9028633046,9028632273,GLENN.AUSTEN@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,149,ST. ANDREWS CONSOLIDATED SCHOOL,3892 HWY 316,ST. ANDREWS NS,B0H 1X0,,,,9028632512,9028636840,KIRK.JOHNSTONE@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,1160,ST. MARY'S EDUCATION CENTRE/ ACADEMY,PO BOX 292,SHERBROOKE NS,B0J 3C0,121 OLD RD HILL,SHERBROOKE NS,B0J 3C0,9025222035,9025222336,MIKE.MACISAAC@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,655,STRAIT AREA EDUCATION AND RECREATION CENTRE,304 PITT ST UNIT 1,PORT HAWKESBURY NS,B9A 2T9,,,,9026251929,9026251868,ROB.ALLEN@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,936,TAMARAC EDUCATION CENTRE,57 TAMARAC DR,PORT HAWKESBURY NS,B9A 3G2,,,,9026256650,9026256654,TANYA.CARTER@SRCE.CA
2018-2019,52,STRAIT REGIONAL CENTRE FOR EDUCATION,388,WHYCOCOMAGH EDUCATION CENTRE,PO BOX 160,WHYCOCOMAGH NS,B0E 3M0,50 NORMAN MCLEOD RD,WHYCOCOMAGH NS,B0E 3M0,9027562441,9027563882,RICK.WELTON@SRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,639,A. G. BAILLIE MEMORIAL SCHOOL,477 VICTORIA AVE EXT,NEW GLASGOW NS,B2H 1X1,,,,9027558240,9027558255,BOUDREAUND@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,248,ADVOCATE DISTRICT SCHOOL,PO BOX 62,ADVOCATE HARBOUR NS,B0M 1A0,3521 HWY 209,ADVOCATE NS,B0M 1A0,9023923400,9023923401,ROCHONP@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,705,AMHERST REGIONAL HIGH SCHOOL,190 WILLOW ST,AMHERST NS,B4H 3W5,,,,9026612540,9026612535,STUBBERTA@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1194,BIBLE HILL CONSOLIDATED SCHOOL,103 PICTOU RD,TRURO NS,B2N 2S2,,,,9028965511,9028965516,FOUGEREKJ@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,7,BIBLE HILL JUNIOR HIGH SCHOOL,741 COLLEGE RD,TRURO NS,B2N 5Y9,,,,9028965500,9028965504,THOMSONTW@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,16,BROOKFIELD ELEMENTARY SCHOOL,233 HWY 289,BROOKFIELD NS,B0N 1C0,,,,9026735050,9026735052,WEATHERBEEKL@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1198,CCRCE ALTERNATE HIGH SCHOOL,PO BOX 10,TRENTON NS,B0K 1X0,37 DICKIE ST,TRENTON NS,B0K 1X0,9027558165,9027558155,CALLAGHANK@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,20,CENTRAL COLCHESTER JUNIOR HIGH SCHOOL,61 ONSLOW RD,CENTRAL ONSLOW NS,B6L 5K4,,,,9028965570,9028965575,MACPHERSONC@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,27,CHIGANOIS ELEMENTARY SCHOOL,11145 HWY 2,MASSTOWN NS,B0M 1G0,,,,9026624420,9026624422,HARNISHK@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,14,COBEQUID CONSOLIDATED ELEMENTARY SCHOOL,2998 HWY 236,OLD BARNS NS,B6L 1K3,,,,9028965560,9028965565,MCINNISND@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,36,COBEQUID DISTRICT ELEMENTARY SCHOOL,8993 HWY 354,NOEL NS,B0N 2C0,,,,9023692960,9023692961,HORNEG@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,44,COBEQUID EDUCATIONAL CENTRE,34 LORNE ST,TRURO NS,B2N 3K3,,,,9028965700,9028965707,KAULBACHW@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1104,CUMBERLAND NORTH ACADEMY,RR 3,BROOKDALE NS,B4H 3Y1,,,,9026612464,9026612438,WELLSK@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,230,CYRUS EATON ELEMENTARY SCHOOL,PO BOX 129,PUGWASH NS,B0K 1L0,171 QUEEN ST,PUGWASH NS,B0K 1L0,9022433900,9022433903,WELLSSE@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,28,DEBERT ELEMENTARY SCHOOL,PO BOX 279,DEBERT NS,B0M 1G0,1320 MASSTOWN RD,DEBERT NS,B0M 1G0,9026624400,9026624404,HARVEYC@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,408,DR. W.A. MACLEOD CONSOLIDATED SCHOOL,6193 TRAFALGAR RD,RIVERTON NS,B0K 1S0,6193 TRAFALGAR RD,RIVERTON NS,B0K 1S0,9027558450,9027558455,STACEYRL@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,750,E. B. CHANDLER JUNIOR HIGH SCHOOL,PO BOX 790,AMHERST NS,B4H 4B9,28 DICKEY ST,AMHERST NS,B4H 4B9,9026612450,9026612455,BEEDS@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,432,EAST PICTOU MIDDLE SCHOOL,163 SCHOOL RD,THORBURN NS,B0K 1W0,,,,9029223800,9029223808,DOYLENM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,31,ELMSDALE DISTRICT ELEMENTARY SCHOOL,75 MACMILLAN DR,ELMSDALE NS,B2S 1A5,,,,9028835350,9028835353,ALLEYM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,30,ENFIELD DISTRICT SCHOOL,29 CATHERINE ST,ENFIELD NS,B2T 1L4,,,,9028835300,9028835302,KNOLT@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,414,F. H. MACDONALD ELEMENTARY SCHOOL,123 SCHOOL RD,THORBURN NS,B0K 1W0,123 SCHOOL RD,THORBURN NS,B0K 1W0,9029223800,9029223828,DOYLENM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,665,G. R. SAUNDERS ELEMENTARY SCHOOL,PO BOX 1030,STELLARTON NS,B0K 1S0,71 BRIDGE AVE,STELLARTON NS,B0K 1S0,9027558230,9027558238,CORMIEREL@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,26,GREAT VILLAGE ELEMENTARY SCHOOL,8849 HWY 2,GREAT VILLAGE NS,B0M 1L0,,,,9026686500,9026686506,SMITHC@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,42,HANTS EAST RURAL HIGH SCHOOL,2331 HWY 2,MILFORD NS,B0N 1Y0,,,,9027584620,9027584626,SMITHMT@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,41,HANTS NORTH RURAL HIGH SCHOOL,4369 HWY 236,KENNETCOOK NS,B0N 1P0,,,,9023623300,9023623303,SEARLELM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1145,HARMONY HEIGHTS ELEMENTARY SCHOOL,25 CEDAR DR,TRURO NS,B2N 5W3,,,,9028965798,9028978922,FITZGERALDD@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,15,HILDEN ELEMENTARY SCHOOL,1737 TRURO RD,HILDEN NS,B0N 1C0,,,,9028965750,9028965751,KAULBACHL@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,661,JUNCTION ROAD ELEMENTARY SCHOOL,PO BOX 2139,SPRINGHILL NS,B0M 1X0,19 JUNCTION RD,SPRINGHILL NS,B0M 1X0,9025974240,9025974247,MADDISONALICKS@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,38,KENNETCOOK DISTRICT ELEMENTARY SCHOOL,4369 HWY 236,KENNETCOOK NS,B0N 1P0,,,,9023623300,9023623303,SEARLELM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,949,MAPLE RIDGE ELEMENTARY SCHOOL,1066 HWY 2,LANTZ NS,B2S 1M8,,,,9028835361,9028835360,ISENORR@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,971,MCCULLOCH EDUCATION CENTRE,350 WELLINGTON ST,PICTOU NS,B0K 1H0,350 WELLINGTON ST,PICTOU NS,B0K 1H0,9024857991,9024857992,MCNEILLFA@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1189,NEW GLASGOW ACADEMY,93 ALBERT ST,NEW GLASGOW NS,B2H 5W8,,,,9027558400,9027558438,MCNEILAP@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,988,NORTH NOVA EDUCATION CENTRE,343 PARK ST,NEW GLASGOW NS,B2H 6B2,,,,9027558180,9027558185,FINDLAYAL@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,9,NORTH RIVER ELEMENTARY SCHOOL,80 MOUNTAIN LEE RD,NORTH RIVER NS,B6L 6M2,,,,9028965530,9028965532,BISHOPAMEROHA@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,231,NORTHPORT CONSOLIDATED ELEMENTARY SCHOOL,7110 HWY 366,NORTHPORT NS,B0L 1E0,,,,9026612490,9026612491,TRENHOLMA@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,989,NORTHUMBERLAND REGIONAL HIGH SCHOOL,104 ALMA RD,ALMA NS,B0K 2A0,,,,9023962750,9023962755,OTOOLEM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,1151,OXFORD REGIONAL EDUCATION CENTRE,249 LOWER MAIN ST,OXFORD NS,B0M 1P0,249 LOWER MAIN ST,OXFORD NS,B0M 1P0,9024474513,9024474517,STARRATTD@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,649,PARRSBORO REGIONAL ELEMENTARY SCHOOL,43 SCHOOL ST,PARRSBORO NS,B0M 1S0,43 SCHOOL ST,PARRSBORO NS,B0M 1S0,9022545605,9022545609,COLLINSONN@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,715,PARRSBORO REGIONAL HIGH SCHOOL,PO BOX 370,PARRSBORO NS,B0M 1S0,109 KING ST,PARRSBORO NS,B0M 1S0,9022545600,9022545660,SPENCED@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,650,PICTOU ACADEMY,200 LOUISE ST,PICTOU NS,B0K 1H0,200 LOUISE ST,PICTOU NS,B0K 1H0,9024857200,9024857210,MACDONALDB@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,252,PUGWASH DISTRICT HIGH SCHOOL,192 CHURCH ST,PUGWASH NS,B0K 1L0,,,,9022433930,9022433940,BRUNTSE@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,39,RAWDON DISTRICT ELEMENTARY SCHOOL,3713 HWY 354,UPPER RAWDON NS,B0N 2N0,,,,9026326660,9026326662,NODDINM@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,916,REDCLIFF MIDDLE SCHOOL,33 SUNSET LANE,VALLEY NS,B6L 4K1,,,,9028965520,9028965514,HAZELTOND@CCRCE.CA
2018-2019,53,CHIGNECTO-CENTRAL REGIONAL CENTRE FOR EDUCATION,251,RIVER HEBERT DISTRICT SCHOOL,2843 BARRONSFIELD RD,RIVER HEBERT NS,B0L 1G0,,,,9022513200,9022513210,TAYLORV@CCRCE.CA
