Index,FACILITY,Address,STREET_NAME,TOWN,COUNTY,TYPE,Phone
32,Northside General Hospital,520 Purves Street,Purves Street,North Sydney,Cape Breton,Community,(902) 794-8521
33,Eastern Kings Memorial Community Health Centre,23 Earnscliffe Avenue,Earnscliffe Avenue,Wolfville,Kings,Community Health Centre,(902) 542-2266
34,Yarmouth Regional Hospital,60 Vancouver Street,Vancouver Street,Yarmouth,Yarmouth,Regional,(902) 742-3541
35,Eastern Shore Memorial Hospital,22637 Highway 7,Highway 7,Sheet Harbour,Halifax,Community,(902) 885-2554
36,Western Kings Memorial Health Centre,121 Orchard Street,Orchard Street,Berwick,Kings,Community Health Centre,(902) 538-3111
37,South Cumberland Community Care Centre,50 Jenks Avenue,Jenks Avenue,Parrsboro,Cumberland,Community,(902) 254-2540
38,St. Anne's Community and Nursing,2313 Highway 206,Highway 206,Arichat,Richmond,Out Patient/ Nursing Home,(902) 226-2826
39,Fishermen's Memorial Hospital,14 High Street,High Street,Lunenburg,Lunenburg,Community,(902) 634-8801
40,New Waterford Consolidated Hospital,716 King Street,King Street,New Waterford,Cape Breton,Community,(902) 862-6411
41,Dartmouth General Hospital,325 Pleasant Street,Pleasant Street,Dartmouth,Halifax,Regional,(902) 465-8300
42,North Cumberland Memorial Hospital,260 Gulf Shore Road,Gulf Shore Road,Pugwash,Cumberland,Community,(902) 243-2521
43,Kings Regional Health & Regional Rehabilitation Centre,1349 County Home Road,County Home Road,Cambridge,Kings,Rehabilitation,(902) 538-3103
44,South Shore Regional Hospital,90 Glen Allan Drive,Glen Allan Drive,Bridgewater,Lunenburg,Regional,(902) 543-4603
45,Cobequid Community Health Centre,40 Freer Lane,Freer Lane,Sackville,Halifax,Community Health Centre,(902) 869-6100
46,Nova Scotia Rehabilitation Centre,1341 Summer Street,Summer Street,Halifax,Halifax,Rehabilitation,(902) 473-2700
47,Annapolis Community Health Centre,821 St. George Street,St. George Street,Annapolis Royal,Annapolis,Community Health Centre,(902) 532-2381
48,Roseway Hospital,1606 Lake Road,Lake Road,Sandy Point,Shelburne,Community,(902) 875-3011
