Year,Board Code,School Code,School Name,Telephone,Email,Mail Address Line 1
2018,51,183,MARION BRIDGE SCHOOL,9027272980,RUTHCLARKE@GNSPES.CA,3845 GABARUS HWY
2018,51,82,MEMORIAL COMPOSITE HIGH SCHOOL,9027366233,NICHOLC7@GNSPES.CA,300 MEMORIAL DR
2018,51,83,MIDDLE RIVER CONSOLIDATED SCHOOL,9022952842,RCORDY@GNSPES.CA,2248 CABOT TRAIL
2018,51,997,MOUNTAINVIEW ELEMENTARY SCHOOL,9025628880,PAUL3@GNSPES.CA,21 DELTA DR
2018,51,961,NORTH HIGHLANDS ELEMENTARY SCHOOL,9023832186,ANGELACURRIE@GNSPES.CA,1363 BAY ST. LAWRENCE RD
2018,51,1154,OCEANVIEW EDUCATION CENTRE,9028424488,GONEILL@GNSPES.CA,60 WALLACES RD
2018,51,1142,RANKIN SCHOOL OF THE NARROWS,9027252210,MACNEILT@GNSPES.CA,4144 HWY 223
2018,51,973,RIVERSIDE SCHOOL,9025634535,BROWNS5@GNSPES.CA,7430 HORNES RD
2018,51,203,RIVERVIEW HIGH SCHOOL,9025645411,JOEMC@GNSPES.CA,57 COXHEATH RD
2018,51,182,ROBIN FOOTE ELEMENTARY SCHOOL,9025393031,LASTEPHEN@GNSPES.CA,125 SUNNYDALE DR
2018,51,113,SETON ELEMENTARY SCHOOL,9027942419,BRIGGSJ1@GNSPES.CA,25 WILKIE AVE
2018,51,646,SHERWOOD PARK EDUCATION CENTRE,9025637732,GARTLAND@GNSPES.CA,500 TERRACE ST
2018,51,972,SHIPYARD ELEMENTARY SCHOOL,9025628878,OLIVERG@GNSPES.CA,30 MT. KEMMEL ST
2018,51,561,ST. ANNE'S ELEMENTARY SCHOOL,9028495661,TETTINGER@GNSPES.CA,30 OFFICIAL ROW
2018,51,688,SYDNEY ACADEMY,9025625464,KDEVEAUX@GNSPES.CA,49 TERRACE ST
2018,51,117,SYDNEY MINES MIDDLE SCHOOL,9027368549,LISAML@GNSPES.CA,596 MAIN ST
2018,51,185,SYDNEY RIVER ELEMENTARY SCHOOL,9025672144,KMCNENLY@GNSPES.CA,35 PHILLIPS ST
2018,51,175,TOMPKINS MEMORIAL ELEMENTARY SCHOOL,9028493803,MCLEODM2@GNSPES.CA,60 MAIN ST
2018,51,667,WHITNEY PIER MEMORIAL MIDDLE SCHOOL,9025626130,DELM@GNSPES.CA,199 JAMIESON ST
2018,52,934,ANTIGONISH EDUCATION CENTRE,9028678800,JOANNE.LANDRY@SRCE.CA,30 APPLESEED DR
2018,52,932,BAYVIEW EDUCATION CENTRE,9027875220,MELANIEM.MACDONALD@SRCE.CA,PO BOX 148
2018,52,974,CAPE BRETON HIGHLANDS EDUCATION CENTRE/ACADEMY,9022357500,PETER.GOOSENS@SRCE.CA,PO BOX 3
2018,52,986,CHEDABUCTO EDUCATION CENTRE/ GUYSBOROUGH ACADEMY,9025334006,BARBARA.AVERY@SRCE.CA,PO BOX 19
2018,52,930,DALBRAE ACADEMY,9029455325,ANNC.WHALLEY@SRCE.CA,PO BOX 220
2018,52,707,DR. JOHN HUGH GILLIS REGIONAL HIGH SCHOOL,9028631620,JACK.MACDONALD@SRCE.CA,105 BRAEMORE AVE
2018,52,975,EAST ANTIGONISH EDUCATION CENTRE/ACADEMY,9022322810,RICHARD.BRITTEN@SRCE.CA,10128 RTE 4
2018,52,484,EAST RICHMOND EDUCATION CENTRE,9025352066,SONYA.SAUVE@SRCE.CA,PO BOX 219
2018,52,266,FANNING EDUCATION CENTRE/ CANSO ACADEMY,9023662225,JEFF.GEORGE@SRCE.CA,129 TICKLE RD
2018,52,471,FELIX MARCHAND EDUCATION CENTRE,9023452560,LOIS.LANDRY@SRCE.CA,PO BOX 767
2018,52,143,H. M. MACDONALD ELEMENTARY SCHOOL,9028632096,ERIN.MACPHERSON@SRCE.CA,RR 3 2811 HWY 245
2018,52,1106,INVERNESS EDUCATION CENTRE/ ACADEMY,9022583700,CAROL.SMITH@SRCE.CA,PO BOX 580
2018,52,390,PLEASANT BAY SCHOOL,9022242365,PETER.GOOSENS@SRCE.CA,456 PLEASANT BAY RD
2018,52,931,RICHMOND EDUCATION CENTRE/ ACADEMY,9023454949,JASON.MACLEAN@SRCE.CA,PO BOX 599
2018,52,152,ST. ANDREW JUNIOR SCHOOL,9028633046,GLENN.AUSTEN@SRCE.CA,2 APPLESEED DR
2018,52,149,ST. ANDREWS CONSOLIDATED SCHOOL,9028632512,KIRK.JOHNSTONE@SRCE.CA,3892 HWY 316
2018,52,1160,ST. MARY'S EDUCATION CENTRE/ ACADEMY,9025222035,MIKE.MACISAAC@SRCE.CA,PO BOX 292
2018,52,655,STRAIT AREA EDUCATION AND RECREATION CENTRE,9026251929,ROB.ALLEN@SRCE.CA,304 PITT ST UNIT 1
2018,52,936,TAMARAC EDUCATION CENTRE,9026256650,TANYA.CARTER@SRCE.CA,57 TAMARAC DR
2018,52,388,WHYCOCOMAGH EDUCATION CENTRE,9027562441,RICK.WELTON@SRCE.CA,PO BOX 160
2018,53,639,A. G. BAILLIE MEMORIAL SCHOOL,9027558240,BOUDREAUND@CCRCE.CA,477 VICTORIA AVE EXT
2018,53,248,ADVOCATE DISTRICT SCHOOL,9023923400,ROCHONP@CCRCE.CA,PO BOX 62
2018,53,705,AMHERST REGIONAL HIGH SCHOOL,9026612540,STUBBERTA@CCRCE.CA,190 WILLOW ST
2018,53,1194,BIBLE HILL CONSOLIDATED SCHOOL,9028965511,FOUGEREKJ@CCRCE.CA,103 PICTOU RD
2018,53,7,BIBLE HILL JUNIOR HIGH SCHOOL,9028965500,THOMSONTW@CCRCE.CA,741 COLLEGE RD
2018,53,16,BROOKFIELD ELEMENTARY SCHOOL,9026735050,WEATHERBEEKL@CCRCE.CA,233 HWY 289
2018,53,1198,CCRCE ALTERNATE HIGH SCHOOL,9027558165,CALLAGHANK@CCRCE.CA,PO BOX 10
2018,53,20,CENTRAL COLCHESTER JUNIOR HIGH SCHOOL,9028965570,MACPHERSONC@CCRCE.CA,61 ONSLOW RD
2018,53,27,CHIGANOIS ELEMENTARY SCHOOL,9026624420,HARNISHK@CCRCE.CA,11145 HWY 2
2018,53,14,COBEQUID CONSOLIDATED ELEMENTARY SCHOOL,9028965560,MCINNISND@CCRCE.CA,2998 HWY 236
2018,53,36,COBEQUID DISTRICT ELEMENTARY SCHOOL,9023692960,HORNEG@CCRCE.CA,8993 HWY 354
2018,53,44,COBEQUID EDUCATIONAL CENTRE,9028965700,KAULBACHW@CCRCE.CA,34 LORNE ST
2018,53,1104,CUMBERLAND NORTH ACADEMY,9026612464,WELLSK@CCRCE.CA,RR 3
2018,53,230,CYRUS EATON ELEMENTARY SCHOOL,9022433900,WELLSSE@CCRCE.CA,PO BOX 129
2018,53,28,DEBERT ELEMENTARY SCHOOL,9026624400,HARVEYC@CCRCE.CA,PO BOX 279
2018,53,408,DR. W.A. MACLEOD CONSOLIDATED SCHOOL,9027558450,STACEYRL@CCRCE.CA,6193 TRAFALGAR RD
2018,53,750,E. B. CHANDLER JUNIOR HIGH SCHOOL,9026612450,BEEDS@CCRCE.CA,PO BOX 790
2018,53,432,EAST PICTOU MIDDLE SCHOOL,9029223800,DOYLENM@CCRCE.CA,163 SCHOOL RD
2018,53,31,ELMSDALE DISTRICT ELEMENTARY SCHOOL,9028835350,ALLEYM@CCRCE.CA,75 MACMILLAN DR
2018,53,30,ENFIELD DISTRICT SCHOOL,9028835300,KNOLT@CCRCE.CA,29 CATHERINE ST
2018,53,414,F. H. MACDONALD ELEMENTARY SCHOOL,9029223800,DOYLENM@CCRCE.CA,123 SCHOOL RD
2018,53,665,G. R. SAUNDERS ELEMENTARY SCHOOL,9027558230,CORMIEREL@CCRCE.CA,PO BOX 1030
2018,53,26,GREAT VILLAGE ELEMENTARY SCHOOL,9026686500,SMITHC@CCRCE.CA,8849 HWY 2
2018,53,42,HANTS EAST RURAL HIGH SCHOOL,9027584620,SMITHMT@CCRCE.CA,2331 HWY 2
2018,53,41,HANTS NORTH RURAL HIGH SCHOOL,9023623300,SEARLELM@CCRCE.CA,4369 HWY 236
2018,53,1145,HARMONY HEIGHTS ELEMENTARY SCHOOL,9028965798,FITZGERALDD@CCRCE.CA,25 CEDAR DR
2018,53,15,HILDEN ELEMENTARY SCHOOL,9028965750,KAULBACHL@CCRCE.CA,1737 TRURO RD
2018,53,661,JUNCTION ROAD ELEMENTARY SCHOOL,9025974240,MADDISONALICKS@CCRCE.CA,PO BOX 2139
2018,53,38,KENNETCOOK DISTRICT ELEMENTARY SCHOOL,9023623300,SEARLELM@CCRCE.CA,4369 HWY 236
2018,53,949,MAPLE RIDGE ELEMENTARY SCHOOL,9028835361,ISENORR@CCRCE.CA,1066 HWY 2
2018,53,971,MCCULLOCH EDUCATION CENTRE,9024857991,MCNEILLFA@CCRCE.CA,350 WELLINGTON ST
2018,53,1189,NEW GLASGOW ACADEMY,9027558400,MCNEILAP@CCRCE.CA,93 ALBERT ST
2018,53,988,NORTH NOVA EDUCATION CENTRE,9027558180,FINDLAYAL@CCRCE.CA,343 PARK ST
2018,53,9,NORTH RIVER ELEMENTARY SCHOOL,9028965530,BISHOPAMEROHA@CCRCE.CA,80 MOUNTAIN LEE RD
2018,53,231,NORTHPORT CONSOLIDATED ELEMENTARY SCHOOL,9026612490,TRENHOLMA@CCRCE.CA,7110 HWY 366
2018,53,989,NORTHUMBERLAND REGIONAL HIGH SCHOOL,9023962750,OTOOLEM@CCRCE.CA,104 ALMA RD
2018,53,1151,OXFORD REGIONAL EDUCATION CENTRE,9024474513,STARRATTD@CCRCE.CA,249 LOWER MAIN ST
2018,53,649,PARRSBORO REGIONAL ELEMENTARY SCHOOL,9022545605,COLLINSONN@CCRCE.CA,43 SCHOOL ST
2018,53,715,PARRSBORO REGIONAL HIGH SCHOOL,9022545600,SPENCED@CCRCE.CA,PO BOX 370
2018,53,650,PICTOU ACADEMY,9024857200,MACDONALDB@CCRCE.CA,200 LOUISE ST
2018,53,252,PUGWASH DISTRICT HIGH SCHOOL,9022433930,BRUNTSE@CCRCE.CA,192 CHURCH ST
2018,53,39,RAWDON DISTRICT ELEMENTARY SCHOOL,9026326660,NODDINM@CCRCE.CA,3713 HWY 354
2018,53,916,REDCLIFF MIDDLE SCHOOL,9028965520,HAZELTOND@CCRCE.CA,33 SUNSET LANE
2018,53,251,RIVER HEBERT DISTRICT SCHOOL,9022513200,TAYLORV@CCRCE.CA,2843 BARRONSFIELD RD
2018,53,923,RIVERSIDE EDUCATION CENTRE,9027584660,GATTOSC@CCRCE.CA,6 RIVERSIDE DR
2018,53,441,SALT SPRINGS ELEMENTARY SCHOOL,9029256000,NELSONRD@CCRCE.CA,2080 WEST RIVER STN RD
2018,53,4,SCOTSBURN ELEMENTARY SCHOOL,9024857980,FORTUNEM@CCRCE.CA,4100 SCOTSBURN RD
2018,53,34,SHUBENACADIE DISTRICT ELEMENTARY SCHOOL,9027584600,NODDINM@CCRCE.CA,54 MILL VILLAGE RD
2018,53,992,SOUTH COLCHESTER ACADEMY,9026735000,ARMSTRONGS@CCRCE.CA,207 HWY 289
2018,53,1105,SPRING STREET ACADEMY,9026612499,JANESH@CCRCE.CA,59 SPRING ST
2018,53,658,SPRINGHILL JUNIOR-SENIOR HIGH SCHOOL,9025974250,CONRONB@CCRSB.CA,84 CHURCH ST
2018,53,1195,TATAMAGOUCHE REGIONAL ACADEMY,9026576235,HOLMESB@CCRCE.CA,92 BLAIR AVE
2018,53,428,THORBURN CONSOLIDATED SCHOOL,9029223840,SMITHLS@CCRCE.CA,13 NEW ROW
2018,53,692,TRENTON ELEMENTARY SCHOOL,9027558460,WASHBURNMD@CCRCE.CA,1 SIXTH ST
2018,53,690,TRENTON MIDDLE SCHOOL,9027558440,MACDONALDOS@CCRCE.CA,PO BOX 10
2018,53,1146,TRURO ELEMENTARY SCHOOL,9028965755,LYNDSJN@CCRCE.CA,125 CURTIS DR
2018,53,45,TRURO JUNIOR HIGH SCHOOL,9028965550,MACLEANAM@CCRCE.CA,445 YOUNG ST
2018,53,40,UNIACKE DISTRICT SCHOOL,9028665100,PEVERILMF@CCRCE.CA,551 HWY 1
2018,53,18,UPPER STEWIACKE ELEMENTARY SCHOOL,9026713000,TAITKA@CCRCE.CA,5327 HWY 289
2018,53,12,VALLEY ELEMENTARY SCHOOL,9028965540,WALLK@CCRCE.CA,96 SALMON RIVER RD
2018,53,227,WALLACE CONSOLIDATED ELEMENTARY SCHOOL,9022576100,DORNDG@CCRCE.CA,3853 HWY 307
2018,53,3,WALTER DUGGAN CONSOLIDATED SCHOOL,9023962700,SLATERA@CCRCE.CA,2370 SPRING GARDEN RD
2018,53,29,WEST COLCHESTER CONSOLIDATED SCHOOL,9026473500,OAKLEYC@CCRCE.CA,27 MAPLE AVE
2018,53,662,WEST END MEMORIAL SCHOOL,9025974242,HOARP@CCRCE.CA,77 MCGEE ST
2018,53,1190,WEST HIGHLANDS ELEMENTARY SCHOOL,9026612420,BATEMANSL@CCRCE.CA,18 MALTBY CRT
2018,53,407,WEST PICTOU CONSOLIDATED SCHOOL,9024857960,TURNERCA@CCRCE.CA,1999 HWY 376
2018,53,1148,WINDING RIVER CONSOLIDATED SCHOOL,9026393199,COXBL@CCRCE.CA,PO BOX 249
2018,54,228,A. J. SMELTZER JUNIOR HIGH SCHOOL,9028646846,AJS@HRCE.CA,46 PRINCE ST
2018,54,512,ADMIRAL WESTPHAL ELEMENTARY SCHOOL,9024358305,AWES@HRCE.CA,6 FOURTH ST
2018,54,513,ALDERNEY ELEMENTARY SCHOOL,9024642040,ALDERNEY@HRCE.CA,2 PENHORN DR
2018,54,317,ASH LEE JEFFERSON ELEMENTARY SCHOOL,9028604163,ALJS@HRCE.CA,10 LOCKVIEW RD
2018,54,739,ASTRAL DRIVE ELEMENTARY SCHOOL,9024628500,ADE@HRCE.CA,236 ASTRAL DR
2018,54,749,ASTRAL DRIVE JUNIOR HIGH SCHOOL,9024628700,ADJH@HRCE.CA,238 ASTRAL DR
2018,54,425,ATLANTIC MEMORIAL-TERENCE BAY ELEMENTARY SCHOOL,9028522166,AMTB@HRCE.CA,3591 PROSPECT RD
2018,54,326,ATLANTIC VIEW ELEMENTARY SCHOOL,9024645245,ATVS@HRCE.CA,3391 LAWRENCETOWN RD
2018,54,97,AUBURN DRIVE HIGH SCHOOL,9024626900,ADHS@HRCE.CA,300 AUBURN DR
2018,54,104,BASINVIEW DRIVE COMMUNITY SCHOOL,9028328450,BDCS@HRCE.CA,273 BASINVIEW DR
2018,54,304,BEAVER BANK-KINSAC ELEMENTARY SCHOOL,9028646805,BBKS@HRCE.CA,28 KINSAC RD
2018,54,752,BEAVER BANK-MONARCH DRIVE ELEMENTARY SCHOOL,9028647540,BBMON@HRCE.CA,38 MONARCH DR
2018,54,268,BEDFORD AND FORSYTH EDUCATION CENTRES,9028328630,BFEC@HRCE.CA,426 ROCKY LAKE DR
2018,54,937,BEDFORD SOUTH SCHOOL,9028325800,BEDFORDS@HRCE.CA,2 OCEANVIEW DR
2018,54,291,BEECHVILLE LAKESIDE TIMBERLEA JUNIOR ELEMENTARY SCHOOL,9028763236,BLTJR@HRCE.CA,22 JAMES ST
2018,54,290,BEECHVILLE LAKESIDE TIMBERLEA SENIOR ELEMENTARY SCHOOL,9028763230,BLT@HRCE.CA,24 JAMES ST
2018,54,514,BEL AYR ELEMENTARY SCHOOL,9024358353,BELAYR@HRCE.CA,4 BELL ST
2018,54,322,BELL PARK ACADEMIC CENTRE,9028292388,BPAC@HRCE.CA,4 THOMAS ST
2018,54,515,BICENTENNIAL SCHOOL,9024642094,BICENT@HRCE.CA,85 VICTORIA RD
2018,54,519,BROOKHOUSE ELEMENTARY SCHOOL,9024358318,BES@HRCE.CA,15 CHRISTOPHER AVE
2018,54,286,BROOKSIDE JUNIOR HIGH SCHOOL,9028522062,BJHS@HRCE.CA,2239 PROSPECT RD
2018,54,595,BURTON ETTINGER ELEMENTARY SCHOOL,9024578922,BEES@HRCE.CA,52 ALEX ST
2018,54,319,CALDWELL ROAD ELEMENTARY SCHOOL,9024626010,CRES@HRCE.CA,280 CALDWELL RD
2018,54,516,CALEDONIA JUNIOR HIGH SCHOOL,9024358413,CJHS@HRCE.CA,38 CALEDONIA RD
2018,54,312,CAUDLE PARK ELEMENTARY SCHOOL,9028646864,CPES@HRCE.CA,35 MCGEE DR
2018,54,743,CAVALIER DRIVE SCHOOL,9028647524,CDS@HRCE.CA,116 CAVALIER DR
2018,54,611,CENTRAL SPRYFIELD SCHOOL,9024794286,CSES@HRCE.CA,364 HERRING COVE RD
2018,54,1183,CHARLES P. ALLEN HIGH SCHOOL,9028328964,CPAH@HRCE.CA,200 INNOVATION DR
2018,54,596,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL,9024794298,CHES@HRCE.CA,230 COWIE HILL RD
2018,54,1109,CITADEL HIGH SCHOOL,9024914444,CHS@HRCE.CA,1855 TROLLOPE ST
2018,54,600,CLAYTON PARK JUNIOR HIGH SCHOOL,9024578930,CPJH@HRCE.CA,45 PLATEAU CRES
2018,54,352,COLBY VILLAGE ELEMENTARY SCHOOL,9024645152,CVES@HRCE.CA,92 COLBY DR
2018,54,357,COLE HARBOUR DISTRICT HIGH SCHOOL,9024645220,CHDHS@HRCE.CA,2 CHAMEAU CRES
2018,54,339,COLONEL JOHN STUART ELEMENTARY SCHOOL,9024645200,CJSES@HRCE.CA,5 JOHN STEWART DR
2018,54,517,CRICHTON PARK ELEMENTARY SCHOOL,9024642503,CRICHTON@HRCE.CA,49 LYNGBY AVE
2018,54,605,CUNARD JUNIOR HIGH SCHOOL,9024794418,CUNARD@HRCE.CA,121 WILLIAMS LAKE RD
2018,54,518,DARTMOUTH HIGH SCHOOL,9024642457,DHS@HRCE.CA,95 VICTORIA RD
2018,54,1193,DARTMOUTH SOUTH ACADEMY,9024642081,DSA@HRCE.CA,111 PRINCE ARTHUR AVE
2018,54,601,DUC D'ANVILLE ELEMENTARY SCHOOL,9024578940,DDES@HRSB.NS.CA,12 CLAYTON PARK DR
2018,54,328,DUNCAN MACMILLAN HIGH SCHOOL,9028852777,DMHS@HRCE.CA,481 CHURCH POINT RD
2018,54,343,DUTCH SETTLEMENT ELEMENTARY SCHOOL,9028833000,DSES@HRSB.NS.CA,990 HWY 277
2018,54,283,EAST ST. MARGARET'S ELEMENTARY SCHOOL,9028232463,ESTM@HRSB.NS.CA,8671 PEGGY'S COVE RD
2018,54,351,EASTERN PASSAGE EDUCATION CENTRE,9024628401,EPEC@HRSB.NS.CA,93 SAMUEL DANIAL DR
2018,54,334,EASTERN SHORE DISTRICT HIGH SCHOOL,9028894025,ESDH@HRCE.CA,35 WEST PETPESWICK RD
2018,54,614,ELIZABETH SUTHERLAND SCHOOL,9024794427,ESS@HRSB.NS.CA,66 ROCKINGSTONE RD
2018,54,538,ELLENVALE JUNIOR HIGH SCHOOL,9024358420,EJHS@HRCE.CA,88 BELLE VISTA DR
2018,54,564,ERIC GRAVES MEMORIAL JUNIOR HIGH SCHOOL,9024358325,EGMJH@HRCE.CA,70 DOROTHEA DR
2018,54,599,FAIRVIEW HEIGHTS ELEMENTARY SCHOOL,9024578953,FHES@HRSB.NS.CA,210 CORONATION AVE
2018,54,578,FAIRVIEW JUNIOR HIGH SCHOOL,9024578960,FVJH@HRSB.NS.CA,155 ROSEDALE AVE
2018,54,288,FIVE BRIDGES JUNIOR HIGH SCHOOL,9028762026,FBJH@HRSB.NS.CA,66 HUBLEY RD
2018,54,356,GAETZ BROOK JUNIOR HIGH SCHOOL,9028274666,GBJHS@HRCE.CA,6856 HWY 7
2018,54,731,GEORGE BISSETT ELEMENTARY SCHOOL,9024645184,GBES@HRCE.CA,170 ARKLOW DR
2018,54,314,GEORGES P. VANIER JUNIOR HIGH SCHOOL,9028604182,VANIER@HRSB.NS.CA,1410 FALL RIVER RD
2018,54,568,GORSEBROOK JUNIOR HIGH SCHOOL,9024216758,GJH@HRSB.NS.CA,5966 SOUTH ST
2018,54,318,GRAHAM CREIGHTON JUNIOR HIGH SCHOOL,9024645164,GCJH@HRSB.NS.CA,72 CHERRY BROOK RD
2018,54,602,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL,9024578422,GWP@HRCE.CA,4 DOWNING ST
2018,54,567,HALIFAX CENTRAL JUNIOR HIGH SCHOOL,9024216777,CENTRAL@HRCE.CA,1787 PRESTON ST
2018,54,592,HALIFAX WEST HIGH SCHOOL,9024578900,HWHS@HRCE.CA,283 THOMAS RADDALL DR
2018,54,306,HAMMONDS PLAINS CONSOLIDATED SCHOOL,9028328412,HPCS@HRSB.NS.CA,2180 HAMMONDS PLAINS RD
2018,54,521,HARBOUR VIEW ELEMENTARY SCHOOL,9024642051,HVES@HRCE.CA,25 ALFRED ST
2018,54,740,HAROLD T. BARRETT JUNIOR HIGH SCHOOL,9028647500,HTBAR@HRSB.NS.CA,862 BEAVER BANK RD
2018,54,296,HARRIETSFIELD ELEMENTARY SCHOOL,9024794230,HES@HRCE.CA,1150 OLD SAMBRO RD
2018,54,313,HARRY R. HAMILTON ELEMENTARY SCHOOL,9028646815,HRH@HRSB.NS.CA,40 HAMILTON DR
2018,54,522,HAWTHORN ELEMENTARY SCHOOL,9024642048,HAWTHORN@HRSB.NS.CA,10 HAWTHORNE ST
2018,54,293,HERRING COVE JUNIOR HIGH SCHOOL,9024794214,HCJH@HRSB.NS.CA,7 LANCASTER DR
2018,54,571,HIGHLAND PARK JUNIOR HIGH SCHOOL,9024935124,HPJH@HRCE.CA,3479 ROBIE ST
2018,54,310,HILLSIDE PARK ELEMENTARY SCHOOL,9028646873,HPES@HRSB.NS.CA,15 HILLSIDE AVE
2018,54,747,HOLLAND ROAD ELEMENTARY SCHOOL,9028604170,HRES@HRCE.CA,181 HOLLAND RD
2018,54,327,HUMBER PARK ELEMENTARY SCHOOL,9024645177,HPS@HRSB.NS.CA,5 SMALLWOOD AVE
2018,54,523,IAN FORSYTH ELEMENTARY SCHOOL,9024358435,IFES@HRSB.NS.CA,22 GLENCOE DR
2018,54,579,INGLIS STREET ELEMENTARY SCHOOL,9024216767,ISES@HRSB.NS.CA,5985 INGLIS ST
2018,54,1196,ISLAND VIEW HIGH SCHOOL,9024666341,IVH@HRSB.CA,1853 CALDWELL RD
2018,54,619,J. L. ILSLEY HIGH SCHOOL,9024794612,JLI@HRSB.NS.CA,38 SYLVIA AVE
2018,54,539,JOHN MACNEIL ELEMENTARY SCHOOL,9024642488,JMES@HRSB.NS.CA,62 LEAMAN DR
2018,54,524,JOHN MARTIN JUNIOR HIGH SCHOOL,9024642408,JMJH@HRSB.NS.CA,7 BRULE ST
2018,54,607,JOHN W. MACLEOD-FLEMING TOWER ELEMENTARY SCHOOL,9024794437,JWM@HRSB.NS.CA,159 PURCELL'S COVE RD
2018,54,354,JOSEPH GILES ELEMENTARY SCHOOL,9024645192,JGES@HRSB.NS.CA,54 GREGORY DR
2018,54,569,JOSEPH HOWE ELEMENTARY SCHOOL,9024216785,JHOWE@HRSB.NS.CA,2557 MAYNARD ST
2018,54,1103,KINGSWOOD ELEMENTARY SCHOOL,9028325522,KWE@HRSB.NS.CA,34 VREGE CRT
2018,54,330,LAKEFRONT CONSOLIDATED ELEMENTARY SCHOOL,9027722195,LCS@HRSB.NS.CA,17286 HWY 7
2018,54,587,LEMARCHANT-ST. THOMAS ELEMENTARY SCHOOL,9024216769,LMSTS@HRSB.NS.CA,1589 WALNUT ST
2018,54,353,LESLIE THOMAS JUNIOR HIGH SCHOOL,9028646785,LTJH@HRCE.CA,100 METROPOLITAN AVE
2018,54,968,LOCKVIEW HIGH SCHOOL,9028606000,LHS@HRCE.CA,148 LOCKVIEW RD
2018,54,939,MADELINE SYMONDS MIDDLE SCHOOL,9028322300,MSMS@HRSB.NS.CA,290 WHITE HILLS RUN
2018,54,526,MICHAEL WALLACE ELEMENTARY SCHOOL,9024358357,MWES@HRCE.CA,24 ANDOVER ST
2018,54,748,MILLWOOD ELEMENTARY SCHOOL,9028647510,MES@HRCE.CA,190 BEAVER BANK CROSS RD
2018,54,745,MILLWOOD HIGH SCHOOL,9028647535,MWHS@HRCE.CA,141 MILLWOOD DR
2018,54,527,MOUNT EDWARD ELEMENTARY SCHOOL,9024358459,MEES@HRSB.NS.CA,3 WINDWARD AVE
2018,54,1149,MUSQUODOBOIT RURAL HIGH SCHOOL,9023842320,MRHS@HRSB.NS.CA,11980 HWY 224
2018,54,348,MUSQUODOBOIT VALLEY EDUCATION CENTRE,9023842555,MVEC@HRSB.NS.CA,PO BOX 99
2018,54,324,NELSON WHYNDER ELEMENTARY SCHOOL,9024626030,NWES@HRCE.CA,979 NORTH PRESTON RD
2018,54,56,OCEAN VIEW ELEMENTARY SCHOOL,9024658670,OVES@HRCE.CA,51 OCEANVIEW SCHOOL RD
2018,54,131,O'CONNELL DRIVE ELEMENTARY SCHOOL,9028274112,OCDES@HRCE.CA,40 O'CONNELL DR
2018,54,315,OLDFIELD CONSOLIDATED SCHOOL,9028833010,OCS@HRSB.NS.CA,72 HALLS RD
2018,54,572,OXFORD SCHOOL,9024216763,OXFORD@HRCE.CA,6364 NORTH ST
